key,substructure,enrichment_strong,odds_ratio,fisher_pvalue_bh,neg_log10_fisher_bh,strong_specificity,support,count_strong,count_weak,count_inactive,dominant_class,category,sig_fdr,pA_effect,pA_sig,pA_spec,S_stat,disc2,share2,freq2,freq0,freq1,S_shap,_merge,evidence,consensus,label
cc(c)N1C(=N)CC1c,cC1C/C(=N)N1c(c)c,3.2177033492822966,5.652446675031368,4.100904670771402e-06,5.387120326162196,0.5,0.0074349442379182,20.0,18.0,2.0,2.0,Medium_StrongEnriched,True,0.8967173738991193,0.9255404323458767,0.8967173738991193,0.9063250600480385,,,,,,,left_only,STATS_only,,cC1C/C(=N)N1c(c)c
cc(c)N1CCCC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)N1CCCC1
cc(c)N1CCCC1=O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)N1CCCC1=O
cc(c)N1Cc=cC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)N1Cc=cC1
cc(c)N1N=CC=C1C,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)N1N=CC=C1C
cc(c)NC,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)NC
cc(c)NC(=O)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)NC(=O)O
cc(c)NC(C)(C)N,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)NC(C)(C)N
cc(c)NC(N)=S,cc(c)NC(N)=S,1.7697368421052633,2.14622023500052,0.1531322322501646,0.8149333866037777,0.275,0.004089219330855,11.0,22.0,7.0,1.0,Medium_StrongEnriched,False,0.7578062449959968,0.6865492393915132,0.7578062449959968,0.7340539097945022,,,,,,,left_only,STATS_only,,cc(c)NC(N)=S
cc(c)Nc(c)c,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)Nc(c)c
cc(c)OC(=O)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)OC(=O)O
cc(c)OC(C)C,,,,,,,,,,,,,,,,,,0.000112,0.0455,1.0,1.0,2.0,0.6163194444444444,right_only,SHAP_only,,cc(c)OC(C)C
cc(c)OCO,cc(c)OCO,0.0,0.0798694698550259,0.0292631602381094,1.5336787745927831,0.0,0.0,0.0,11.0,22.0,0.0,Neutral_Balanced,True,0.18254603682946358,0.7730184147317855,0.18254603682946358,0.37937016279690416,,,,,,,left_only,STATS_only,,cc(c)OCO
cc(c)Oc(c)n,,,,,,,,,,,,,,,,,,0.000755,0.1365,1.0,1.0,0.0,0.6653645833333334,right_only,SHAP_only,,cc(c)Oc(c)n
cc(c)S(=O)(=O)CC,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)S(=O)(=O)CC
cc(c)S(=O)(=O)c(c)c,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)S(=O)(=O)c(c)c
cc(c)S(=O)C(C)c,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)S(=O)C(C)c
cc(c)S(C)(=O)=O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.2903645833333333,right_only,SHAP_only,,cc(c)S(C)(=O)=O
cc(c)SC,cc(c)SC,1.4300903774587983,1.81312525010004,0.7990001367713122,0.0974531463443051,0.2222222222222222,0.0007434944237918,2.0,1.0,6.0,0.0,Neutral_Balanced,False,0.7229783827061649,0.20616493194555643,0.7229783827061649,0.5507072324526288,,,,,,,left_only,STATS_only,,cc(c)SC
cc(c)[C@@H](NC)C(=O)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[C@@H](NC)C(=O)O
cc(c)[C@@H](NP)C(=O)O,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[C@@H](NP)C(=O)O
cc(c)[C@@H](O)[C@H](C)N,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.2903645833333333,right_only,SHAP_only,,cc(c)[C@@H](O)[C@H](C)N
